NOMBRE_EMP,NOMBRE_FAE,REGIÓN_IN,PROVINCIA,COMUNA_INS,NOMBRE_INS,TIPO_INSTA,RECOBRERSO,UTM_NORTE,UTM_ESTE,ESTADO_INS,METODO_CONS,NEAR_DIST,VOL_AUTORIZADO,VOL_ACTUAL,TON_AUTORIZADO,TON_ACTUAL,RES_APRUEBA,RES_PDC_APRUEBA,RES_PDC_FECHA,RES_APRUEBA_FECHA,latitud,longitud,lat_lon_pair
ENAMI,PLANTA JOSE ANTONIO MORENO,II,ANTOFAGASTA,TALTAL,PUNTA MORADO,TRANQUE DE RELAVE,COBRE,7191282.31489999,353574.436499999,INACTIVO,,107379.943704547,1121664.0,0.0,1682496.0,0.0,1161,1530,2015-06-04 00:00:00,1992-09-29 00:00:00,-25.388077,-70.455561,"-25.388077, -70.455561"
CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,RELAVE FILTRADO,FILTRADO,COBRE-ORO,6393385.0,322587.0,ACTIVO,FILTRADO,,,,80568.0,,114,,,2023-03-06 00:00:00,-32.582810,-70.890184,"-32.582810, -70.890184"
CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 5,TRANQUE DE RELAVE,COBRE-ORO,6393867.39059999,322933.8057,INACTIVO,EJE CENTRAL,23869.6851881322,1625000.0,0.0,2473500.0,0.0,252,615,2009-04-07 00:00:00,2008-03-24 00:00:00,-32.578516,-70.886399,"-32.578516, -70.886399"
CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 4,TRANQUE DE RELAVE,COBRE-ORO,6393748.85699999,323198.3896,INACTIVO,AGUAS ARRIBA,24144.8004247008,1050000.0,0.0,1575000.0,0.0,S/I,615,2009-04-07 00:00:00,S/I,-32.579627,-70.883604,"-32.579627, -70.883604"
CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 3,TRANQUE DE RELAVE,COBRE-ORO,6393617.62339999,323441.8068,INACTIVO,AGUAS ARRIBA,23908.5189372558,660000.0,0.0,990000.0,0.0,135,615,2009-04-07 00:00:00,1972-07-19 00:00:00,-32.580849,-70.881037,"-32.580849, -70.881037"
CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 2,TRANQUE DE RELAVE,COBRE-ORO,6393435.5897,323657.7072,INACTIVO,AGUAS ARRIBA,23630.9547917973,590000.0,0.0,885000.0,0.0,S/I,615,2009-04-07 00:00:00,S/I,-32.582525,-70.878772,"-32.582525, -70.878772"
CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 1,TRANQUE DE RELAVE,COBRE-ORO,6393357.2729,323740.257399999,INACTIVO,AGUAS ARRIBA,23518.0979725611,480000.0,0.0,720000.0,0.0,S/I,615,2009-04-07 00:00:00,S/I,-32.583244,-70.877908,"-32.583244, -70.877908"
ALEJANDRO LOPEZ ALIAGA,PLANTA VETA DEL AGUA,V,QUILLOTA,NOGALES,VETA DEL AGUA 1-2-3-4,EMBALSE,ORO,6381689.53909999,300150.4088,INACTIVO,EMBALSE,8739.05596161963,1565000.0,0.0,2347500.0,0.0,S/I,,,S/I,-32.684418,-71.131591,"-32.684418, -71.131591"
ALEJANDRO LOPEZ ALIAGA,PLANTA VETA DEL AGUA,V,QUILLOTA,NOGALES,VETA DEL AGUA 6,EMBALSE,ORO,6381894.32699999,299810.6831,ACTIVO,EMBALSE,8631.9574652998,358795.0,287949.0,538192.0,431632.0,1784,,,2011-06-20 00:00:00,-32.682510,-71.135169,"-32.682510, -71.135169"
MINERA LAS JUNTAS (EX MINAS SAN ANDRES),PLANTAS EL PINGO Y SANTA MARIA,IV,LIMARI,MONTE PATRIA,EL PINGO ,TRANQUE DE RELAVE,COBRE-ORO,6586777.10059999,348766.9956,INACTIVO,EJE CENTRAL,39499.0246125296,101600.0,0.0,152400.0,0.0,S/I,N_A,N_A,S/I,-30.842550,-70.581466,"-30.842550, -70.581466"
